m,n
101,108
121,115
176,197
96,87
166,49
47,84
39,154
196,127
13,102
37,125
75,97
26,192
142,192
106,151
51,200
33,159
129,37
23,43
111,200
200,140
176,45
55,159
80,128
69,76
197,39
177,97
140,33
86,104
101,160
106,55
167,129
37,169
103,100
85,58
183,136
107,118
91,88
151,55
70,172
64,104
51,142
44,14
42,181
119,134
115,14
65,158
100,30
102,174
73,71
178,188
194,84
113,22
27,16
111,122
100,173
43,190
34,195
28,117
120,131
54,97
11,22
59,197
125,31
126,49
58,124
129,158
130,60
125,85
32,195
43,62
173,166
101,45
154,155
185,180
186,24
153,94
109,139
78,155
68,178
58,194
78,102
96,179
192,105
46,197
50,160
109,18
112,114
191,191
120,142
198,160
116,137
16,123
160,35
133,48
94,116
196,109
177,87
186,53
157,63
31,170
165,16
105,105
43,164
88,136
101,162
161,138
150,170
37,122
114,123
102,147
192,49
151,37
72,180
196,41
70,41
67,134
138,152
57,25
172,196
161,154
66,190
39,165
124,96
155,15
197,169
63,197
148,149
51,12
58,178
91,67
21,197
41,54
87,178
197,117
179,23
47,141
76,79
80,83
167,80
199,60
18,34
189,52
18,87
99,120
44,59
72,154
153,30
187,20
89,105
79,51
187,50
62,194
67,152
77,133
141,20
93,58
164,195
37,196
148,71
180,51
171,135
142,181
90,183
75,178
23,116
76,118
138,196
75,39
68,128
127,193
126,57
63,41
127,95
136,17
171,115
37,197
151,188
173,64
13,36
192,121
187,47
55,175
195,34
87,134
27,22
158,70
20,190
75,55
37,57
18,176
149,60
178,94
43,170
77,119
39,200
153,124
89,91
92,186
140,144
71,146
182,30
129,53
67,115
100,49
170,67
164,128
79,134
47,29
112,161
51,170
193,139
50,131
77,157
152,46
146,200
175,74
39,89
162,159
22,109
140,26
53,61
175,20
30,16
137,184
100,168
22,63
124,106
106,115
60,32
82,83
134,107
51,147
33,164
147,175
27,17
65,45
32,128
75,47
102,107
196,142
189,113
104,179
67,105
28,164
55,77
19,191
152,60
95,16
194,181
163,182
158,200
113,161
43,160
166,158
97,11
79,155
197,102
164,163
197,14
151,42
44,147
37,86
57,67
119,48
71,22
12,117
75,183
119,28
194,56
167,113
26,151
113,191
125,143
167,36
133,92
104,167
160,175
135,106
179,46
118,42
53,173
51,156
99,23
86,46
19,44
92,168
52,108
170,122
142,183
127,137
46,27
68,13
18,92
121,100
92,120
35,179
87,63
15,45
58,58
193,98
134,172
130,90
112,196
53,180
103,20
146,141
13,13
29,28
112,107
132,126
120,109
14,196
96,189
114,187
71,77
90,59
192,134
134,75
32,169
98,140
47,43
179,109
61,79
52,169
112,103
112,93
50,147
188,34
11,88
170,56
29,168
130,56
29,95
26,27
38,194
161,15
138,73
180,139
20,80
18,33
31,129
181,156
143,172
68,197
78,185
124,143
190,16
33,56
87,157
140,48
94,153
122,115
88,136
170,42
59,65
154,61
86,144
31,197
138,55
163,152
134,141
17,28
94,184
15,13
173,142
18,81
108,109
85,42
13,119
40,21
194,74
175,93
68,84
166,136
60,122
96,191
99,190
110,27
161,107
76,144
30,74
38,191
59,119
125,48
77,34
71,56
105,187
30,110
168,115
60,190
57,25
153,94
144,104
189,199
183,88
153,26
171,56
82,15
50,166
75,144
96,86
120,133
131,69
45,157
24,15
15,122
104,148
179,75
128,115
30,19
81,166
10,190
42,111
75,54
94,41
12,122
109,157
168,52
115,109
145,66
190,19
72,102
194,115
67,165
81,104
65,196
12,186
159,71
193,36
45,158
102,141
173,79
142,176
167,159
35,172
15,96
30,124
152,57
75,187
162,77
103,14
22,160
49,21
192,149
189,161
164,113
150,173
134,94
121,50
174,159
161,41
159,144
106,167
124,189
35,102
190,62
110,154
143,188
102,45
189,146
180,19
15,26
196,86
61,77
63,95
13,114
22,192
85,53
135,95
93,67
54,182
139,91
65,193
74,86
123,40
23,53
82,94
45,197
173,83
184,92
14,19
62,14
46,87
88,161
155,112
195,186
185,123
54,66
96,31
156,74
144,143
197,155
122,185
60,118
20,136
147,23
48,90
193,17
68,14
124,49
77,136
181,51
109,177
59,140
28,181
161,189
50,177
115,137
84,194
89,177
33,33
125,17
22,168
95,155
46,64
85,28
56,114
199,186
62,137
197,131
179,180
108,128
80,151
189,76
181,138
45,117
46,174
116,171
87,25
167,87
149,91
108,77
84,119
172,71
116,182
105,131
67,30
153,51
180,184
121,93
87,151
58,114
178,163
14,46
52,46
127,78
151,20
163,126
132,67
74,66
39,57
62,146
58,45
145,94
62,198
80,94
171,143
139,11
148,89
137,144
139,61
88,23
37,170
61,35
52,32
96,159
40,23
108,44
15,41
92,159
185,109
17,196
136,193
183,170
199,164
26,119
50,174
17,123
23,10
114,174
50,118
10,175
196,112
135,87
174,141
160,160
112,154
194,20
30,76
122,21
199,190
151,40
117,30
198,52
18,100
112,108
15,56
178,165
133,121
52,41
174,28
113,160
160,108
94,121
36,95
74,189
75,17
104,189
182,54
184,62
168,178
148,78
121,97
92,186
133,14
158,52
167,121
170,130
112,101
46,169
115,12
175,12
155,177
113,183
151,33
70,161
95,138
26,183
142,147
35,100
183,166
15,19
153,96
11,54
32,100
85,144
108,16
61,38
195,126
45,169
55,117
68,62
96,40
35,97
140,161
90,43
98,73
146,77
186,106
63,89
117,51
182,10
190,109
112,44
73,110
91,165
48,53
151,94
68,25
13,94
138,30
10,112
132,48
133,40
144,62
78,192
86,51
131,156
37,178
175,97
80,64
106,113
155,23
99,112
171,200
136,81
187,114
36,174
15,143
141,76
192,35
46,172
19,70
44,81
70,78
17,86
97,122
194,130
136,39
32,111
67,46
30,139
125,64
11,34
81,37
110,101
33,148
65,180
23,32
110,53
81,40
54,59
144,165
183,10
113,28
182,80
54,43
162,200
44,56
110,164
105,76
132,110
106,116
14,137
192,35
101,186
198,55
30,170
85,12
96,199
73,75
81,183
152,118
147,12
77,106
137,66
123,27
162,10
102,66
125,41
93,200
25,123
37,66
182,115
74,144
193,54
74,19
95,122
36,156
17,181
90,39
194,72
189,197
107,39
188,156
134,74
74,41
76,21
35,196
57,179
28,52
36,111
83,88
159,75
191,149
163,57
17,25
98,143
187,123
70,193
18,57
191,119
78,129
16,95
150,178
48,190
91,88
34,110
28,32
156,34
160,138
50,68
161,64
188,161
58,183
22,141
142,116
193,152
131,52
107,107
198,45
128,104
77,86
86,79
105,193
90,38
20,47
138,103
194,181
143,71
38,22
109,126
18,152
182,148
160,108
15,144
158,188
170,193
152,175
71,194
32,86
28,175
180,32
75,94
89,87
63,113
125,93
195,160
138,24
142,19
42,178
36,19
129,110
100,99
75,106
90,83
27,67
19,37
181,176
122,99
150,187
75,32
36,22
41,98
63,177
163,115
108,79
43,165
120,167
133,176
122,46
40,189
151,67
107,93
129,178
187,131
156,118
172,75
60,28
156,28
88,36
141,55
196,163
173,67
55,123
147,147
50,138
44,44
196,41
82,178
117,92
49,60
129,91
20,80
118,187
130,163
183,153
49,29
21,118
55,32
99,44
136,65
115,140
153,52
102,72
181,170
47,85
47,28
161,185
158,78
121,12
36,65
57,56
161,93
155,131
102,184
111,102
70,73
130,171
120,68
138,44
92,145
35,56
67,131
11,186
110,15
46,151
52,180
158,190
94,37
182,90
170,191
200,185
77,193
145,60
160,184
97,126
153,158
12,87
91,50
118,142
98,178
186,81
94,96
200,72
81,26
126,47
85,187
75,170
78,42
66,159
191,117
35,181
28,75
41,89
182,190
124,20
74,135
47,109
172,73
181,65
176,101
103,48
64,126
53,125
16,107
73,70
43,189
22,169
171,149
33,130
168,188
39,49
124,23
112,16
76,180
106,160
154,41
38,98
136,174
16,99
66,31
149,100
131,72
171,158
153,142
67,85
171,138
134,187
69,66
15,184
106,100
133,164
96,129
87,121
41,106
80,135
179,161
185,98
173,156
200,33
81,197
86,132
14,153
159,144
116,145
118,191
124,162
35,128
67,173
161,38
153,186
42,131
113,197
82,105
29,144
183,199
82,129
84,95
50,195
194,183
46,157
165,112
73,132
15,169
44,37
151,59
180,84
70,153
140,62
64,166
113,192
103,135
57,24
120,149
58,38
25,158
186,41
177,179
183,53
10,181
26,106
21,74
177,56
43,40
84,185
162,49
177,87
166,174
22,71
57,144
39,165
175,147
166,23
72,168
163,93
71,65
62,150
86,146
189,44
194,108
41,83
189,52
64,155
181,23
44,81
131,79
194,189
161,195
143,141
79,85
165,147
182,41
90,66
10,123
24,121
103,80
138,108
69,143
194,118
107,63
52,164
179,48
184,167
148,193
25,176
28,56
192,183
107,117
11,73
99,106
152,80
101,18
117,176
155,117
101,77
157,130
137,44
36,88
143,71
122,11
32,192
157,164
163,49
168,152
111,14
185,171
175,98
103,151
136,113
137,106
32,135
11,156
148,135
131,163
157,114
39,41
70,144
38,26
87,169
103,142
97,67
178,28
61,18
83,157
166,197
83,109
134,27
174,37
141,71
137,38
88,94
80,57
49,164
163,148
74,22
19,123
178,53
97,131
88,154
26,94
104,64
95,92
180,176
163,124
182,128
21,49
134,80
140,117
99,185
110,73
158,198
39,171
113,115
102,134
125,112
139,15
103,88
42,18
129,67
66,81
68,54
86,33
181,113
55,153
144,168
59,200
128,114
156,96
78,125
103,142
18,124
144,55
62,100
25,30
185,185
163,116
155,61
24,137
186,126
69,50
194,139
127,100
92,53
191,177
105,38
27,59
77,176
167,103
181,180
138,45
59,23
140,30
96,116
40,106
160,192
151,26
157,23
139,50
124,198
85,127
73,152
89,43
47,94
60,181
19,43
51,76
118,98
28,73
109,103
134,11
22,149
76,164
74,141
84,115
72,104
50,141
13,138
31,177
24,45
190,192
111,131
54,44
97,66
44,81
145,84
180,150
53,16
138,124
73,79
124,190
21,45
29,139
118,53
25,14
56,133
51,173
34,39
43,77
181,137
86,40
122,164
128,168
136,186
54,53
132,59
123,131
83,134
99,136
161,150
113,47
146,80
92,40
55,112
191,86
54,140
164,126
120,177
122,32
125,28
115,95
95,41
54,162
151,133
194,187
164,101
160,166
157,81
168,82
139,158
24,47
25,13
23,111
105,43
52,170
26,186
81,130
111,84
174,121
41,90
147,104
164,135
12,97
20,31
164,48
175,122
135,21
96,77
119,124
85,13
186,40
101,169
77,90
178,111
200,196
190,81
140,172
35,67
108,170
175,65
167,160
86,117
99,200
80,123
169,87
38,68
191,191
119,54
19,86
157,153
196,113
93,27
150,185
127,17
73,45
100,45
19,187
131,60
152,33
88,134
155,13
31,181
197,32
199,49
174,64
14,119
82,99
164,78
162,186
168,46
169,169
68,152
81,155
89,70
172,63
56,148
179,196
120,84
190,43
99,38
84,91
42,47
104,177
144,64
45,29
39,86
153,133
24,63
92,83
93,28
38,81
155,34
60,27
74,51
125,146
38,125
178,13
194,108
198,56
102,93
173,83
127,58
35,128
129,196
199,70
85,67
84,79
183,134
29,38
131,127
29,173
186,139
198,158
133,100
188,200
187,15
161,115
35,26
73,90
100,159
71,197
191,157
12,105
50,149
121,37
26,64
175,35
49,123
96,79
141,26
56,52
122,167
142,92
74,108
179,70
162,41
197,104
181,163
43,52
171,144
108,127
45,105
93,62
71,73
120,97
110,68
43,72
139,88
22,27
200,20
62,81
58,183
65,148
14,46
165,140
95,24
159,35
49,90
162,18
94,132
51,101
162,200
125,33
82,40
175,20
109,187
122,61
70,131
30,58
80,199
165,15
61,91
21,173
13,131
186,91
60,88
28,162
45,22
95,62
84,57
130,161
183,195
54,25
38,138
74,194
40,103
140,48
171,163
151,154
154,92
179,118
135,182
109,19
143,118
137,64
119,75
50,198
78,137
166,82
171,78
115,41
102,163
149,28
87,176
109,152
68,72
90,64
105,99
109,118
11,26
73,84
106,21
57,17
72,81
68,173
127,50
143,127
152,116
72,40
123,88
82,118
85,35
11,183
109,79
99,151
135,110
107,75
44,14
122,134
111,118
35,63
43,13
154,19
124,149
165,18
81,87
98,119
185,176
198,144
23,190
102,28
79,57
26,176
30,61
104,197
166,120
35,109
143,170
140,109
46,25
163,199
186,37
103,83
181,19
54,14
183,187
198,174
149,31
119,21
92,176
32,187
28,98
101,143
22,173
114,177
23,114
131,128
141,76
107,37
175,10
141,193
126,96
99,197
166,154
200,43
86,161
131,75
169,187
91,28
13,56
38,36
65,42
87,128
37,157
125,70
151,89
53,162
48,108
133,136
180,87
35,173
43,95
18,57
47,133
81,57
100,172
177,21
37,137
26,120
124,198
149,152
71,38
13,68
194,16
194,127
82,160
200,35
150,154
84,180
194,115
28,40
91,176
91,50
144,130
40,131
84,106
200,156
15,152
80,76
144,172
31,115
181,66
173,153
108,196
117,189
49,33
120,109
67,45
61,187
25,89
154,102
120,97
193,11
89,74
110,67
116,168
150,114
129,194
129,55
49,69
95,66
42,197
55,95
146,17
58,147
52,45
157,198
110,31
67,111
39,22
194,90
119,92
17,104
56,172
68,139
144,157
190,180
149,85
144,152
119,176
89,131
189,194
69,173
79,55
34,19
104,16
113,67
178,63
95,163
16,146
48,22
89,54
80,146
19,160
200,126
111,111
182,162
97,52
65,87
170,68
113,170
196,49
97,10
39,167
196,121
67,99
76,112
184,12
44,91
114,45
24,186
69,192
55,66
145,135
64,114
108,68
59,71
192,64
173,89
137,119
99,97
116,101
132,176
131,164
195,41
182,40
104,90
48,87
149,147
168,48
18,145
110,119
124,36
190,102
154,92
148,174
87,186
35,87
109,24
125,137
165,33
71,67
197,49
132,120
140,159
59,109
72,40
34,140
73,164
76,89
14,159
25,73
165,131
19,198
148,11
75,54
57,188
190,93
120,150
109,12
115,111
162,18
75,49
65,120
79,12
114,84
91,73
19,107
110,193
121,187
146,60
120,189
161,103
167,80
152,50
126,180
60,110
64,52
64,171
90,31
200,80
40,168
39,107
22,189
135,14
132,132
107,196
16,173
150,73
191,33
48,117
94,72
23,132
154,93
139,40
111,77
17,135
27,96
86,29
49,31
22,196
193,189
199,135
109,181
64,133
196,65
159,115
47,36
55,162
85,81
198,50
53,59
112,179
194,89
67,35
122,178
120,48
102,88
182,80
180,113
78,153
100,200
128,148
16,138
175,125
137,114
170,179
145,49
125,197
21,72
67,63
53,158
192,113
165,127
102,145
184,184
98,90
199,62
165,74
110,110
129,65
87,153
141,191
197,68
81,123
135,119
21,34
14,14
93,187
46,198
150,157
47,142
172,23
86,165
35,67
184,118
100,51
19,64
136,152
75,120
28,102
115,197
182,79
111,132
51,183
24,61
49,55
183,51
110,151
80,39
170,19
61,118
118,106
13,73
200,70
155,80
101,191
98,185
60,27
56,67
152,73
72,188
120,57
14,114
62,150
67,190
80,105
191,91
144,119
160,36
73,126
32,14
110,92
174,31
139,128
53,16
89,131
130,94
99,10
133,197
63,194
93,21
158,60
110,31
174,147
40,162
162,73
66,185
41,126
101,179
30,30
77,188
85,92
173,21
10,199
100,176
79,56
54,199
156,13
29,163
127,155
16,128
139,110
79,129
167,85
68,101
139,131
35,78
35,44
169,107
19,137
144,163
99,188
94,83
127,26
133,60
131,31
96,117
165,63
28,171
113,55
152,181
136,191
68,30
196,52
182,104
69,154
175,185
192,16
51,165
159,88
195,170
185,173
197,60
92,39
136,162
177,150
105,182
135,117
159,21
45,140
75,158
79,95
39,21
145,113
41,47
169,115
13,189
53,32
10,91
160,149
53,165
79,30
196,118
106,146
188,66
84,40
171,127
179,192
183,165
83,60
130,128
37,75
29,173
85,74
102,180
74,24
80,126
12,185
126,138
66,156
85,55
85,74
137,104
75,85
161,153
97,183
92,120
199,42
187,75
168,30
187,92
172,69
16,134
107,111
150,47
139,73
123,88
174,148
79,94
11,150
29,76
28,101
38,186
85,134
29,65
159,192
19,62
65,31
17,102
109,22
86,102
116,46
70,154
75,155
21,153
25,17
193,105
78,88
150,136
193,165
103,43
101,60
66,70
60,121
53,192
155,96
39,130
100,50
91,157
48,128
195,29
188,114
38,147
132,134
89,170
74,15
109,145
168,142
44,73
133,22
182,79
152,97
109,159
129,150
172,43
184,160
71,20
145,40
17,120
13,145
54,23
126,107
79,46
182,156
32,152
17,107
119,195
149,125
194,135
31,34
27,117
67,184
161,182
14,28
74,140
87,105
148,44
147,108
89,104
119,70
179,51
97,49
15,50
17,188
197,40
67,13
27,138
116,101
118,141
129,150
45,158
91,14
10,126
92,157
94,85
133,101
95,173
140,145
145,54
70,110
112,102
65,22
139,81
186,198
156,61
48,112
121,175
144,93
57,14
20,64
35,51
169,46
40,111
192,116
94,140
12,61
198,177
21,127
60,41
131,164
195,145
56,71
79,116
99,13
43,141
104,159
162,120
49,38
123,58
50,49
185,107
40,60
102,172
47,28
99,18
84,156
80,171
53,62
40,151
104,171
166,16
23,72
11,181
44,30
175,76
18,50
34,82
128,192
78,61
135,160
138,72
52,197
145,117
132,196
177,132
179,110
191,183
61,68
59,54
75,13
175,101
113,172
32,47
197,173
51,160
121,191
75,28
21,47
175,75
15,99
14,164
30,138
166,156
81,162
35,68
62,114
67,125
73,93
26,65
182,154
195,172
167,54
154,108
147,59
35,139
34,92
140,16
27,107
130,80
142,135
74,32
56,36
79,143
129,185
79,26
133,108
18,133
121,158
36,142
68,116
197,84
157,27
170,187
122,72
64,136
43,58
98,165
11,169
168,160
104,175
158,28
134,140
40,33
162,23
36,75
200,41
194,58
91,185
90,125
194,68
156,184
131,135
26,57
187,92
70,123
109,182
107,130
178,194
17,171
81,194
106,197
141,129
58,68
108,30
148,45
177,46
133,183
113,144
175,191
130,195
149,42
95,184
145,162
73,131
77,85
80,112
106,162
125,188
56,195
159,55
186,119
107,12
106,91
53,192
152,174
101,104
178,71
143,169
68,140
13,115
146,94
100,90
84,39
28,148
90,178
70,63
115,145
163,96
33,136
95,157
133,22
118,44
147,132
38,131
11,178
79,116
189,124
175,15
58,191
153,160
117,78
41,197
179,72
106,116
129,16
79,41
128,65
92,127
80,49
147,145
102,164
33,133
139,93
73,184
178,168
42,10
198,51
165,86
156,146
113,66
66,152
89,35
68,33
141,96
