m,n
34,156
193,68
185,145
157,107
52,39
66,40
64,178
118,41
129,196
142,66
31,101
198,122
79,16
142,78
13,176
127,27
119,49
143,122
145,70
119,166
120,37
119,14
34,65
199,29
12,171
147,81
49,200
69,199
46,193
103,157
85,184
109,109
109,160
178,123
117,98
112,85
71,76
129,133
42,51
106,33
72,49
126,115
176,103
70,178
33,91
124,180
197,171
142,150
58,163
75,81
61,100
141,122
43,30
46,162
64,165
56,173
10,37
57,16
172,88
40,57
195,19
177,182
182,156
74,198
183,37
149,168
130,68
129,139
103,146
187,77
139,64
65,97
178,179
105,116
43,69
115,131
103,130
37,103
61,167
193,60
149,22
48,86
40,24
61,71
48,115
83,178
54,179
76,124
112,200
155,89
75,151
10,36
170,45
127,171
14,173
142,72
106,124
82,72
12,64
15,60
195,74
27,79
133,102
121,36
192,137
86,108
21,95
70,179
33,50
46,119
167,119
44,73
58,138
73,56
94,187
73,154
27,18
195,145
135,188
77,111
62,139
167,45
36,67
91,193
110,90
187,49
56,141
48,147
31,48
38,19
92,53
15,108
156,122
44,85
21,169
81,71
101,21
78,119
159,49
170,10
78,100
71,118
53,44
118,71
165,43
72,130
94,85
190,194
39,41
15,14
193,147
192,49
79,94
114,146
40,149
174,105
60,56
79,99
84,11
66,132
198,132
180,193
131,153
99,184
199,162
53,190
91,95
73,112
118,15
87,117
28,94
150,110
51,86
197,86
169,16
120,191
111,94
11,119
190,136
53,40
46,24
162,152
142,35
108,140
93,171
153,22
146,152
49,32
59,69
27,91
65,185
157,69
47,29
114,166
54,174
172,66
61,73
164,77
114,110
15,120
58,138
166,63
54,32
65,171
11,172
65,149
14,39
82,120
108,129
41,196
197,54
148,104
41,85
162,119
39,122
148,53
31,83
40,70
126,169
129,196
168,165
64,181
53,80
125,181
106,104
36,85
200,199
137,83
142,15
195,20
198,103
155,128
66,55
93,89
103,36
43,166
163,199
82,170
87,70
167,73
186,53
107,73
126,154
56,26
95,104
51,149
97,179
14,142
55,139
138,99
126,145
45,40
165,147
173,155
157,81
36,126
34,23
142,37
166,106
114,66
195,66
55,154
159,132
55,75
189,75
53,103
149,171
58,177
175,119
21,124
62,188
147,141
72,34
88,38
101,154
36,114
87,110
189,13
84,128
135,58
35,177
17,23
158,90
151,174
171,172
54,141
107,67
106,98
136,96
126,200
182,149
134,107
149,117
170,55
111,63
130,57
90,125
140,90
177,189
173,94
105,174
147,48
112,131
127,175
90,29
181,174
180,198
193,70
176,123
26,49
190,171
47,21
94,51
35,105
98,142
79,11
52,184
82,94
132,84
70,75
110,57
110,120
128,197
24,81
171,119
136,23
23,131
153,106
130,104
136,122
65,196
122,172
56,167
139,94
29,55
34,32
180,49
77,45
27,113
106,155
53,140
86,30
72,43
140,21
61,90
129,71
46,56
199,130
139,141
90,20
171,18
186,23
71,128
83,193
187,63
57,16
184,56
80,129
114,170
24,124
119,119
113,186
44,180
172,96
137,58
86,176
149,74
97,91
52,26
131,14
52,62
14,159
121,193
173,100
170,43
139,11
115,96
190,169
41,57
140,27
77,135
48,144
183,154
135,194
45,123
155,136
92,155
106,128
188,45
162,109
13,133
25,81
177,174
166,137
149,19
130,62
11,42
181,99
34,198
158,187
148,121
48,88
41,86
167,32
70,35
160,158
188,169
35,76
65,121
90,150
136,197
78,29
86,128
96,113
139,191
166,31
112,189
178,84
32,80
119,170
58,21
55,90
118,14
37,105
69,149
176,23
166,26
68,115
39,30
111,161
164,16
165,31
140,11
175,145
33,59
24,131
24,20
15,130
11,192
10,54
116,28
200,45
113,84
162,165
76,134
84,141
185,29
107,85
117,82
54,102
46,70
199,40
193,88
162,171
11,94
67,178
177,162
102,124
94,77
49,140
55,191
57,102
105,31
117,199
79,195
14,83
127,61
47,60
28,196
51,96
50,25
55,57
117,102
28,22
101,178
167,178
39,130
66,163
195,160
123,15
157,16
134,188
95,137
131,17
111,37
153,50
62,32
70,168
138,140
23,102
27,33
78,50
14,47
52,167
11,26
31,28
51,168
180,79
166,149
42,74
98,188
111,192
19,61
134,96
192,75
38,58
118,30
33,12
145,54
50,83
174,78
86,82
60,98
87,51
102,58
97,38
105,171
19,96
28,152
86,195
149,141
48,193
46,154
199,183
150,139
137,77
152,133
109,143
181,159
108,138
34,36
118,45
172,17
89,134
122,152
169,164
63,136
72,43
164,37
19,42
118,110
172,89
76,62
178,77
179,12
104,165
69,92
128,24
54,152
13,112
191,176
14,174
139,112
142,191
199,57
162,99
37,175
94,50
173,90
89,175
179,149
196,174
173,31
145,102
12,180
159,43
60,20
181,85
184,142
43,59
185,110
116,106
162,141
188,116
39,166
63,118
165,21
111,142
130,36
45,166
12,39
170,156
193,23
198,159
105,176
77,146
117,74
148,23
96,39
200,144
47,49
197,163
73,93
136,49
94,146
198,197
39,14
171,168
29,170
14,153
39,22
25,130
91,163
134,136
189,195
81,145
108,64
39,24
117,200
130,58
31,198
93,192
117,58
174,133
22,116
63,173
24,199
59,133
162,99
172,130
87,185
199,76
11,80
185,152
103,45
68,19
38,171
32,47
160,25
114,130
167,160
69,198
135,96
38,19
24,78
43,87
33,197
49,154
102,67
146,178
33,60
199,149
26,92
80,101
20,157
22,95
138,103
76,54
116,150
155,133
76,133
182,126
143,138
24,161
50,183
186,76
184,130
90,77
147,73
120,11
143,121
67,90
33,180
164,127
17,82
127,154
20,90
157,66
62,118
168,164
162,55
88,156
80,138
55,150
104,88
34,167
107,195
20,26
122,150
21,180
160,40
79,73
45,34
85,82
19,160
103,164
26,129
95,77
25,83
179,183
188,90
191,13
144,34
42,177
66,128
86,179
65,49
147,167
72,143
53,148
116,30
32,67
11,189
151,24
66,84
16,178
44,82
134,169
24,182
116,130
200,83
140,82
143,165
46,83
55,10
153,75
153,102
191,68
11,154
190,146
95,71
173,171
155,80
167,15
29,76
140,95
139,13
162,199
122,123
26,113
152,36
30,138
123,72
46,105
189,35
141,78
22,147
98,75
86,192
86,102
82,139
128,33
60,200
94,95
198,95
101,23
184,35
160,35
162,101
37,40
127,139
130,124
32,84
78,168
147,99
181,112
19,16
88,185
15,99
176,99
150,27
156,74
123,191
162,161
145,172
93,96
181,61
44,138
66,149
198,46
187,15
54,191
35,104
50,70
46,31
17,101
107,119
125,153
111,39
182,133
48,55
158,80
89,36
174,80
56,85
22,63
14,172
67,41
16,107
123,78
28,191
57,25
177,71
117,17
163,29
180,119
64,141
77,96
89,165
10,124
168,57
112,139
122,26
16,102
117,81
171,181
155,52
104,128
38,99
55,13
33,75
136,104
64,177
86,101
183,170
177,160
15,148
81,39
65,160
102,116
186,98
150,112
196,54
112,93
177,166
24,133
75,199
57,118
177,125
165,14
11,171
58,115
132,122
163,126
152,160
17,58
95,58
39,177
11,44
167,56
120,185
70,36
45,175
140,17
87,167
45,132
126,81
76,173
119,20
128,18
75,100
54,36
140,115
114,45
110,199
44,93
81,45
18,180
164,74
200,61
79,48
73,76
166,80
183,175
17,177
34,84
61,159
40,169
138,65
125,143
21,153
24,84
32,150
96,112
68,58
113,125
169,40
123,145
93,67
155,101
23,85
104,144
31,116
34,49
60,25
111,191
131,166
47,196
120,155
34,125
90,100
139,85
164,164
50,117
55,113
60,98
164,147
95,95
88,170
106,196
189,197
15,64
40,130
55,58
11,79
153,21
77,36
44,147
123,23
84,153
108,190
52,133
194,93
116,68
167,161
158,144
163,102
94,58
99,188
178,162
42,15
24,194
104,16
65,72
144,55
121,125
98,152
191,131
163,139
87,46
83,84
188,62
96,122
88,85
173,105
84,74
142,27
193,188
142,136
36,98
15,105
16,144
101,196
69,108
88,37
117,66
67,194
135,48
101,45
69,82
84,166
132,192
39,116
33,138
32,111
57,65
29,18
15,106
17,175
67,125
123,19
158,166
194,69
175,57
80,107
133,128
106,179
11,86
54,189
54,191
142,163
190,37
164,29
147,112
140,195
187,121
115,43
23,188
36,74
179,192
154,120
162,106
72,24
78,21
153,123
23,64
91,34
189,127
52,154
25,161
37,128
122,121
136,109
17,166
58,171
197,41
118,87
156,41
114,159
158,88
129,160
97,13
94,183
54,170
29,40
120,74
150,81
42,151
76,150
183,94
52,21
16,170
101,167
41,133
28,138
182,68
140,26
103,65
185,35
137,24
185,74
54,187
22,194
60,190
69,93
47,157
95,40
79,112
155,142
62,114
92,27
146,124
68,42
50,167
113,12
16,148
91,43
18,21
35,162
44,12
148,103
145,53
27,123
155,168
44,91
80,189
46,88
192,60
74,171
126,85
200,92
25,44
151,54
167,36
88,43
11,166
167,38
194,72
111,117
15,64
111,111
49,88
59,159
200,82
79,172
143,174
195,32
139,53
199,71
65,131
153,152
191,50
87,119
46,181
37,133
61,184
186,24
116,132
134,128
84,199
20,11
173,11
198,21
136,188
73,191
119,52
63,53
73,184
31,83
112,47
154,92
158,124
155,176
70,117
33,179
171,69
34,187
125,103
50,109
190,165
68,116
20,128
81,154
172,44
179,40
81,76
67,83
59,82
168,142
55,138
77,21
37,149
181,112
69,55
117,142
158,59
131,83
68,64
182,19
41,33
60,102
153,129
157,182
186,114
119,66
129,21
81,196
90,34
175,61
125,78
11,43
36,148
112,40
31,182
36,81
162,82
131,128
178,70
69,54
11,186
50,192
187,200
62,57
110,105
196,34
78,11
131,79
116,196
79,80
26,70
62,14
142,94
30,51
93,65
162,177
77,100
168,64
174,77
57,161
64,122
176,38
175,45
81,148
124,43
119,54
96,10
27,27
112,174
177,162
89,81
81,15
160,126
41,104
58,112
147,156
28,127
171,65
31,74
195,93
64,100
160,129
51,87
187,86
100,108
168,117
143,130
27,60
115,163
99,163
28,51
168,158
76,61
180,117
180,123
83,198
176,36
157,14
109,20
162,200
189,173
66,195
173,156
43,15
153,122
17,180
153,146
36,140
154,35
183,144
19,153
31,194
145,140
157,101
157,119
132,116
41,98
115,179
148,13
159,86
94,129
122,81
162,26
89,126
121,40
94,67
164,77
43,131
47,193
48,20
35,38
105,176
106,154
172,105
38,41
106,74
117,148
43,66
10,117
137,15
41,196
24,15
110,136
200,50
49,185
168,184
182,106
11,20
100,92
37,102
28,84
155,131
74,26
169,41
28,21
134,17
65,183
195,177
185,64
136,134
94,150
119,53
158,22
169,81
123,153
197,174
21,101
183,36
146,35
92,182
18,30
125,49
182,108
109,79
55,154
82,97
115,119
88,114
192,23
196,141
125,27
60,180
162,21
166,85
97,178
115,58
196,127
179,122
107,104
127,180
112,194
42,169
61,147
178,161
68,78
124,46
106,153
117,125
75,107
65,42
143,170
168,84
135,196
55,28
152,161
192,127
96,105
139,117
63,20
142,71
145,133
42,38
54,74
61,72
122,197
86,123
27,137
194,67
100,141
32,91
58,36
28,178
183,64
123,141
96,153
34,87
137,17
79,44
141,80
43,42
63,58
184,105
115,90
23,91
189,84
121,99
200,55
27,62
151,79
79,136
76,163
188,86
96,167
29,107
75,67
91,168
24,178
108,99
152,185
173,96
122,128
150,127
160,38
25,190
90,171
31,148
166,67
80,200
18,59
141,39
107,188
132,65
99,97
76,19
183,76
200,77
130,92
164,52
122,23
44,94
131,152
59,122
51,120
78,14
190,153
74,179
27,180
23,136
138,187
54,80
187,159
73,117
26,103
54,61
130,108
93,190
95,17
170,10
186,173
168,38
80,41
147,140
52,143
140,149
132,122
23,177
111,72
140,94
123,186
189,185
135,139
142,125
159,15
144,155
135,105
110,76
129,96
33,98
34,199
44,138
14,66
34,32
121,163
173,195
41,39
200,124
104,135
156,198
49,14
65,71
94,185
100,133
49,122
170,16
107,137
90,104
52,12
24,152
183,72
48,187
164,130
124,18
173,112
137,90
54,131
32,176
35,58
188,162
24,131
73,191
60,58
50,21
64,191
168,108
84,98
127,150
37,159
106,72
173,106
54,166
199,74
117,196
54,162
178,156
186,113
97,60
191,120
167,91
38,47
104,126
126,79
165,18
188,76
30,127
152,108
96,61
169,52
101,189
96,108
90,67
183,158
117,168
110,191
189,185
85,65
128,108
198,161
111,93
200,143
34,26
138,80
60,142
79,156
137,79
120,165
95,25
98,56
129,124
163,183
199,180
177,89
88,172
40,160
91,183
167,68
102,38
193,80
24,88
83,165
162,127
63,166
90,163
200,75
63,94
98,179
130,17
94,155
188,174
72,153
132,76
89,147
52,50
197,56
86,73
129,35
20,25
71,127
155,170
115,27
32,110
146,36
11,192
199,87
195,54
147,169
16,177
119,161
131,13
85,33
129,12
84,18
97,178
157,15
62,133
40,66
141,143
141,80
69,183
145,108
121,142
16,107
74,22
10,31
42,145
33,188
197,20
57,122
99,177
72,163
75,126
147,199
188,51
74,68
158,126
108,47
156,179
119,109
22,156
63,137
153,151
122,146
55,117
164,106
30,126
120,146
110,94
149,41
107,191
11,32
183,131
39,45
68,108
118,152
146,128
57,189
156,155
12,30
68,181
105,59
130,39
47,191
22,182
23,68
111,94
24,12
65,24
100,139
130,34
41,144
104,169
191,175
122,35
152,54
37,103
26,59
30,70
150,88
103,127
173,178
88,38
72,128
99,87
158,38
47,17
175,189
198,60
15,194
198,64
21,39
171,47
134,171
187,145
98,190
99,33
81,188
150,90
21,92
32,137
29,134
199,33
83,29
152,34
143,156
75,96
149,58
98,166
88,176
108,128
123,104
17,30
95,156
168,105
136,36
58,48
92,121
187,46
196,200
145,182
14,188
178,11
147,192
64,110
37,28
68,66
118,83
139,52
152,42
46,168
85,101
109,151
172,149
174,159
95,83
145,86
122,174
153,21
59,130
133,82
187,54
76,65
32,109
41,98
92,171
140,195
83,32
97,121
22,34
78,137
49,19
112,77
21,33
192,52
92,156
187,172
116,106
193,144
155,91
33,198
111,135
157,32
167,114
11,114
103,141
69,62
102,18
116,161
143,112
37,17
15,16
75,138
29,68
160,31
62,128
99,130
187,156
156,95
90,161
73,106
111,94
156,174
191,44
86,88
41,41
96,197
189,38
126,131
96,59
186,190
54,30
179,80
100,122
65,156
63,156
63,57
86,63
16,98
179,121
164,11
144,64
91,69
57,193
32,65
153,143
87,140
54,33
55,13
22,103
128,81
149,123
93,151
10,146
136,60
171,174
157,86
123,182
137,138
117,39
198,144
185,106
162,26
62,98
35,123
102,42
120,65
185,131
125,163
51,137
132,127
48,36
102,67
69,20
155,12
191,63
127,79
179,57
50,60
67,72
61,176
37,67
139,106
43,54
109,188
77,82
81,67
197,101
53,10
84,193
54,149
91,173
81,101
191,197
146,23
105,38
23,197
38,116
177,107
112,91
87,15
30,52
67,156
176,57
61,161
117,31
139,82
177,76
133,124
106,180
49,121
157,176
23,188
152,42
141,114
109,96
21,36
189,113
30,124
190,34
29,175
92,64
172,134
140,128
22,46
189,70
174,79
117,53
164,166
188,57
12,119
198,179
79,52
27,128
16,60
111,196
143,110
61,97
73,70
109,199
79,155
48,18
74,29
163,49
72,135
93,159
170,16
183,137
171,124
121,165
114,48
118,162
119,107
132,89
133,140
85,16
25,22
145,34
139,13
130,171
184,42
20,26
37,18
167,127
184,98
25,117
104,16
139,170
127,42
192,152
138,70
189,192
60,187
101,83
114,87
195,172
163,144
103,164
103,137
195,86
76,32
117,110
53,162
192,24
62,37
188,26
159,56
73,75
169,63
15,117
172,53
122,72
103,34
164,130
113,103
130,117
92,168
73,114
62,75
151,23
100,102
122,19
156,135
41,193
190,33
71,180
29,55
25,95
154,115
91,159
100,102
42,73
93,83
55,154
38,130
132,34
117,165
38,47
116,156
53,178
21,134
61,172
35,125
199,160
48,91
157,84
186,162
116,48
170,81
185,28
182,126
156,157
72,78
160,104
157,182
43,11
44,190
52,167
120,43
54,98
13,45
82,32
18,190
144,116
84,112
23,90
192,69
174,166
76,113
164,58
68,30
141,26
120,144
83,152
97,62
100,51
200,155
120,65
89,82
185,191
161,78
84,46
84,171
174,25
175,57
40,126
78,187
189,152
13,184
39,187
53,31
102,49
33,111
127,179
88,43
31,188
149,61
148,18
151,86
11,128
113,69
93,174
12,158
33,53
124,18
16,156
12,37
31,189
82,81
146,165
27,195
123,14
160,151
52,96
135,103
17,158
176,154
19,12
190,154
54,85
85,32
110,140
38,191
93,150
53,77
119,90
128,38
179,21
132,161
197,46
171,156
33,26
53,161
144,11
99,169
36,79
50,61
88,141
76,24
60,37
49,94
154,175
146,189
36,105
63,18
161,129
149,23
150,188
136,75
66,101
167,156
30,98
14,163
158,19
137,147
58,91
169,122
36,37
85,140
25,118
107,158
80,117
193,59
155,142
197,88
130,77
191,16
45,176
70,80
33,40
131,182
16,24
161,28
132,40
86,134
31,154
120,114
164,24
24,98
197,191
25,56
81,100
26,165
198,26
139,192
24,136
117,198
56,182
191,180
99,172
54,122
115,32
48,114
139,164
84,38
149,63
166,176
45,40
101,30
97,45
150,156
162,82
146,187
87,139
37,157
36,71
24,126
76,71
87,28
168,127
32,57
104,91
178,156
45,47
85,21
90,155
128,51
63,158
117,74
99,108
44,135
161,88
97,144
24,15
130,172
164,98
155,106
62,136
188,177
129,134
158,40
128,132
66,128
33,26
184,48
99,91
16,102
131,39
68,156
19,61
159,31
140,59
140,183
74,66
184,192
109,77
84,131
198,128
90,159
191,141
128,12
149,28
182,157
10,18
95,80
74,78
50,32
193,36
64,174
46,199
115,26
93,116
27,132
64,142
130,78
119,34
65,102
65,105
40,161
55,39
180,11
56,97
143,151
50,88
36,177
94,23
145,56
86,78
101,193
111,48
58,189
161,43
88,67
49,196
159,149
70,31
117,156
125,37
165,44
16,128
111,95
66,53
73,107
84,89
96,101
81,112
171,198
133,34
92,49
106,165
46,94
87,169
123,89
187,166
115,173
164,156
87,25
38,194
79,12
53,14
143,164
153,171
37,26
24,182
112,122
77,97
32,88
60,159
116,27
85,176
148,15
26,51
85,135
183,69
80,63
114,186
179,30
118,97
64,183
118,16
156,189
83,196
123,108
68,91
84,101
55,43
98,15
23,15
25,28
183,140
30,100
26,120
32,136
153,67
192,144
175,197
79,102
92,168
154,173
139,150
22,177
11,192
35,154
168,129
182,165
29,190
40,200
12,58
122,68
93,56
33,147
105,160
51,100
75,126
185,28
80,96
124,41
148,48
121,133
193,34
83,62
32,77
101,150
56,15
145,187
89,157
84,146
196,101
134,197
163,147
103,40
99,57
101,163
41,30
102,189
196,177
46,16
122,184
31,157
186,156
84,118
156,151
200,127
142,31
109,51
123,133
181,45
197,195
187,128
54,200
62,197
35,23
137,177
36,20
176,151
12,49
69,180
126,171
27,19
12,120
194,108
64,69
179,23
146,103
44,22
122,143
148,21
59,74
169,67
106,65
146,59
65,84
135,188
119,23
52,98
115,127
179,22
170,154
178,80
136,153
164,179
83,178
142,96
186,138
92,36
159,29
99,127
43,145
21,198
45,14
25,181
45,82
79,148
45,185
74,125
110,11
99,117
82,103
18,157
22,164
16,136
187,136
28,110
47,64
114,71
96,150
95,34
196,185
134,25
141,118
33,105
78,65
20,144
19,127
190,192
199,28
191,86
17,120
83,168
80,180
27,88
33,155
189,74
57,125
169,147
43,188
30,151
194,75
28,181
113,27
52,188
167,107
13,194
166,83
87,129
188,109
33,142
18,77
99,119
91,13
33,179
90,96
32,126
169,49
95,97
182,78
171,76
95,138
79,80
55,163
112,25
138,21
82,63
181,14
78,86
12,144
179,200
37,14
137,127
176,116
70,65
89,80
32,111
40,64
169,32
82,23
177,70
136,49
66,91
166,196
88,170
94,135
167,74
44,59
113,13
26,138
171,162
30,115
139,58
17,47
87,30
25,26
167,140
55,152
183,142
193,155
195,55
144,85
188,61
106,39
104,65
53,149
183,104
192,197
129,179
110,100
171,177
146,148
168,60
78,180
190,79
113,161
80,42
110,156
190,34
128,25
137,113
83,75
71,152
24,130
98,155
112,60
130,196
127,40
37,170
158,12
64,85
161,18
31,147
51,102
53,43
71,26
188,194
157,27
90,45
79,155
85,52
17,45
63,62
186,23
107,122
111,16
22,134
27,43
53,81
118,91
74,138
191,88
195,18
110,20
29,150
104,186
20,89
76,150
185,157
140,64
182,46
106,49
27,78
138,117
47,69
173,99
36,168
152,51
56,108
73,81
12,140
74,78
109,26
118,184
148,62
66,10
108,38
85,130
186,25
112,158
169,30
11,184
38,72
137,61
45,96
83,175
109,145
82,199
126,60
44,79
58,144
105,155
200,197
110,108
49,157
178,113
158,170
79,90
98,85
181,45
60,133
81,41
59,82
72,176
129,192
134,17
100,20
22,158
166,165
190,72
134,131
133,146
157,26
129,50
91,176
78,63
184,33
46,157
174,170
156,94
98,39
64,150
76,46
168,30
28,122
188,163
137,198
23,192
15,105
14,115
179,90
135,67
110,76
19,107
147,103
173,197
11,198
53,28
68,128
84,66
146,146
118,74
92,92
129,97
179,67
116,195
90,48
10,133
15,76
28,145
186,64
173,33
194,36
172,196
30,177
22,114
114,32
57,195
51,154
19,52
95,71
189,44
179,155
103,199
144,42
95,166
150,138
184,75
86,102
58,68
18,72
126,122
181,148
160,57
55,191
60,95
21,30
123,45
105,76
105,147
168,195
189,125
64,135
57,156
196,96
185,138
124,25
115,169
126,125
182,92
113,105
172,13
111,90
96,74
196,54
138,21
63,132
101,110
53,188
138,21
150,83
21,124
183,151
60,57
62,46
117,100
111,43
26,182
171,93
15,125
66,161
114,169
76,157
80,52
44,76
64,134
171,69
151,65
128,36
166,185
111,182
30,60
194,24
192,180
183,12
19,76
58,76
135,192
140,87
154,55
186,93
144,100
128,178
83,37
178,145
95,127
191,154
176,58
46,161
29,13
171,165
34,16
174,52
